audio,text,order,name,command
58,انهي المكالمة,انهي المكالمة,,endCall
59,افتح الشات مع هاني سامر,افتح الشات,هاني سامر,openChat
60,اغلق الدردشة,اغلق الدردشة,,closeChat
61,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
62,اقرا الرسائل,اقرا الرسائل,,readMessages
63,رسالة نصية الى عبدالعزيز,رسالة نصية,عبدالعزيز,textMessage
64,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
65,حظر,حظر,,block
66,فك الحظر عن زياد,فك الحظر,زياد,unblock
67,اتصل بهادي وائل,اتصل,هادي وائل,call
68,انهي المكالمة,انهي المكالمة,,endCall
69,افتح الدردشة مع زياد وليد,افتح الدردشة,زياد وليد,openChat
70,اغلق الدردشة,اغلق الدردشة,,closeChat
71,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
72,اقرا رسائل ياسر,اقرا رسائل,ياسر,readMessages
73,ارسل رسالة نصية الى سامح,رسالة نصية,سامح,textMessage
74,ارسل رسالة صوتية الى عبدالرحمن,رسالة صوتية,عبدالرحمن,voiceMessage
75,قم بحظر هاني,حظر,هاني,block
76,قم بفك الحظر عن عبدالعزيز,فك الحظر,عبدالعزيز,unblock
77,اتصل على وليد,اتصل,وليد,call
78,انهي الاتصال,انهي الاتصال,,endCall
79,افتح الشات مع احمد,افتح الشات,احمد,openChat
80,اغلق الشات,اغلق الشات,,closeChat
81,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
82,اقرا الرسائل,اقرا الرسائل,,readMessages
83,رسالة نصية الى سامح,رسالة نصية,سامح,textMessage
84,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
85,حظر,حظر,,block
86,فك الحظر عن اسعد علاء,فك الحظر,اسعد علاء,unblock
87,فك الحظر,فك الحظر,,unblock
88,اتصل,اتصل,,call
89,اغلق المكالمة,اغلق المكالمة,,endCall
90,ابدأ الدردشة مع سامي,ابدأ الدردشة,سامي,openChat
91,اغلق المحادثة,اغلق المحادثة,,closeChat
92,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
93,اقرا رسائل ايهاب عبدالله,اقرا رسائل,ايهاب عبدالله,readMessages
94,ارسل رسالة نصية,رسالة نصية,,textMessage
95,ارسل رسالة صوتية الى سليمان عبدالرحمن,رسالة صوتية,سليمان عبدالرحمن,voiceMessage
96,حظر زياد عبدالله,حظر,زياد عبدالله,block
97,قم بفك الحظر عن زياد هاني,فك الحظر,زياد هاني,unblock
98,اتصال,اتصال,,call
99,اغلق الاتصال,اغلق الاتصال,,endCall
100,مكالمة,مكالمة,,call
101,انهي الدردشة,انهي الدردشة,,closeChat
102,انهي الدردشة,انهي الدردشة,,closeChat
103,انهي المكالمة,انهي المكالمة,,endCall
104,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
105,افتح المحادثة مع علي,افتح المحادثة,علي,openChat
106,اقرا الرسائل,اقرا الرسائل,,readMessages
107,انهي الشات,انهي الشات,,closeChat
108,ارسل رسالة نصية الى زياد عبدالعزيز,رسالة نصية,زياد عبدالعزيز,textMessage
109,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
110,اقرا رسائل اسعد سامي,اقرا رسائل,اسعد سامي,readMessages
111,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
112,رسالة نصية الى ايهاب محمد,رسالة نصية,ايهاب محمد,textMessage
113,ارسل رسالة صوتية الى هاني ياسر,رسالة صوتية,هاني ياسر,voiceMessage
114,قم بحظر سامر,حظر,سامر,block
114,قم بحظر مهاب ياسر,حظر,مهاب ياسر,block
116,فك الحظر عن ايهاب محمد,فك الحظر,ايهاب محمد,unblock
117,فك الحظر عن وليد,فك الحظر,وليد,unblock
118,ابدا مكالمة مع مهاب,مكالمة,مهاب,call
119,انهي الاتصال,انهي الاتصال,,endCall
120,افتح محادثة ياسر,افتح محادثة,ياسر,openChat
121,انهي المحادثة,انهي المحادثة,,closeChat
122,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
123,اقرا الرسائل,اقرا الرسائل,,readMessages
124,ارسل رسالة نصية,رسالة نصية,,textMessage
125,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
126,حظر,حظر,,block
127,فك الحظر,فك الحظر,,unblock
128,اتصل بسيد احمد,اتصل,سيد احمد,call
129,اتصل على مهاب,اتصل,مهاب,call
130,انهي المكالمة,انهي المكالمة,,endCall
131,افتح الدردشة مع سليمان ياسر,افتح الدردشة,سليمان ياسر,openChat
132,اغلق الدردشة,اغلق الدردشة,,closeChat
133,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
134,اقرا رسائل محمود,اقرا رسائل,محمود,readMessages
135,ارسل رسالة نصية الى عبدالرحمن صلاح,رسالة نصية,عبدالرحمن صلاح,textMessage
136,ارسل رسالة صوتية الى صلاح,رسالة صوتية,صلاح,voiceMessage
137,قم بحظر زياد سعيد,حظر,زياد سعيد,block
138,قم بفك الحظر عن احمد,فك الحظر,احمد,unblock
139,قم بفك الحظر عن احمد,فك الحظر,احمد,unblock
140,قم بفك الحظر عن احمد,فك الحظر,احمد,unblock
141,اتصل,اتصل,,call
142,اتصال,اتصال,,call
143,انهي الاتصال,انهي الاتصال,,endCall
144,افتح الشات مع مهاب,افتح الشات,مهاب,openChat
145,اغلق الشات,اغلق الشات,,closeChat
146,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
147,اقرا الرسائل,اقرا الرسائل,,readMessages
148,رسالة نصية الى عبدالرحمن,رسالة نصية,عبدالرحمن,textMessage
149,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
150,حظر,حظر,,block
151,فك الحظر عن هاني عبدالله,فك الحظر,هاني عبدالله,unblock
152,مكالمة,مكالمة,,call
153,اغلق المكالمة,اغلق المكالمة,,endCall
154,ابدأ الدردشة مع سعيد,ابدأ الدردشة,سعيد,openChat
155,اغلق المحادثة,اغلق المحادثة,,closeChat
156,ابدا مكالمة مع بهاء,مكالمة,بهاء,call
157,اغلق الاتصال,اغلق الاتصال,,endCall
158,افتح المحادثة مع سامر,افتح المحادثة,سامر,openChat
159,انهي الدردشة,انهي الدردشة,,closeChat
160,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
161,اقرا رسائل سعيد,اقرا رسائل,سعيد,readMessages
162,ارسل رسالة نصية,رسالة نصية,,textMessage
163,ارسل رسالة صوتية الى زياد,رسالة صوتية,زياد,voiceMessage
164,حظر احمد,حظر,احمد,block
165,فك الحظر,فك الحظر,,unblock
166,اتصل بايهاب سامي,اتصل,ايهاب سامي,call
167,افتح محادثة محمود,افتح محادثة,محمود,openChat
168,انهي الشات,انهي الشات,,closeChat
169,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
170,اقرا الرسائل,اقرا الرسائل,,readMessages
171,ارسل رسالة نصية الى صلاح,رسالة نصية,صلاح,textMessage
172,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
173,قم بحظر اسعد,حظر,اسعد,block
174,قم بفك الحظر عن محمد,فك الحظر,محمد,unblock
175,قم بفك الحظر عن محمد,فك الحظر,محمد,unblock
176,فك الحظر عن احمد عبدالرحمن,فك الحظر,احمد عبدالرحمن,unblock
177,اتصل بسعيد,اتصل,سعيد,call
178,اتصل على بهاء,اتصل,بهاء,call
179,اقرا رسائل محمود طارق,اقرا رسائل,محمود طارق,readMessages
179,اتصل بعبدالعزيز سليمان,اتصل,عبدالعزيز سليمان,call
181,اتصل بمحمد بهاء,اتصل,محمد بهاء,call
182,انهي المكالمة,انهي المكالمة,,endCall
183,افتح الدردشة مع سعيد,افتح الدردشة,سعيد,openChat
184,اغلق الدردشة,اغلق الدردشة,,closeChat
185,اتصل على علي,اتصل,علي,call
185,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
188,ارسل رسالة نصية الى سليمان علاء,رسالة نصية,سليمان علاء,textMessage
187,اقرا رسائل علي,اقرا رسائل,علي,readMessages
189,ارسل رسالة صوتية الى عبدالله اسعد,رسالة صوتية,عبدالله اسعد,voiceMessage
190,قم بحظر زياد,حظر,زياد,block
191,قم بفك الحظر عن سلمان,فك الحظر,سلمان,unblock
192,اتصل,اتصل,,call
193,اتصل على علي,اتصل,علي,call
194,انهي الاتصال,انهي الاتصال,,endCall
195,افتح الشات مع صلاح,افتح الشات,صلاح,openChat
196,اتصل بسلمان هاني,اتصل,سلمان هاني,call
197,اتصل بسامي بهاء,اتصل,سامي بهاء,call
198,انهي المكالمة,انهي المكالمة,,endCall
199,انهي المكالمة,انهي المكالمة,,endCall
200,اتصل بعلي,اتصل,علي,call
201,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
202,افتح الدردشة مع سامي,افتح الدردشة,سامي,openChat
203,اقرا رسائل سلمان,اقرا رسائل,سلمان,readMessages
204,افتح الدردشة مع سامي,افتح الدردشة,سامي,openChat
205,اتصل على محمد,اتصل,محمد,call
206,ارسل رسالة نصية الى احمد اسعد,رسالة نصية,احمد اسعد,textMessage
207,ارسل رسالة صوتية الى ياسر هادي,رسالة صوتية,ياسر هادي,voiceMessage
208,قم بحظر مهاب ايهاب,حظر,مهاب ايهاب,block
209,قم بفك الحظر عن محمود بهاء,فك الحظر,محمود بهاء,unblock
210,اتصل,اتصل,,call
211,اتصال,اتصال,,call
212,مكالمة,مكالمة,,call
213,ابدا مكالمة مع ياسر سامي,مكالمة,ياسر سامي,call
214,اتصل بهاني عبدالرحمن,اتصل,هاني عبدالرحمن,call
215,اتصل على هاني وائل,اتصل,هاني وائل,call
216,اتصل,اتصل,,call
217,انهي الاتصال,انهي الاتصال,,endCall
218,اتصال,اتصال,,call
219,مكالمة,مكالمة,,call
220,اغلق المكالمة,اغلق المكالمة,,endCall
221,ابدا مكالمة مع سلمان,مكالمة,سلمان,call
222,اتصل بياسر,اتصل,ياسر,call
223,اتصل بياسر,اتصل,ياسر,call
224,اتصل ببهاء,اتصل,بهاء,call
226,اتصل بسلمان سليمان,اتصل,سلمان سليمان,call
225,اتصل بمهاب زياد,اتصل,مهاب زياد,call
227,اتصل بسامي,اتصل,سامي,call
228,قم بفك الحظر عن علاء,فك الحظر,علاء,unblock
229,قم بحظر سليمان,حظر,سليمان,block
230,ارسل رسالة صوتية الى اسعد,رسالة صوتية,اسعد,voiceMessage
231,ارسل رسالة نصية الى سامح سليمان,رسالة نصية,سامح سليمان,textMessage
232,اقرا رسائل ايهاب,اقرا رسائل,ايهاب,readMessages
233,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
236,انهي المكالمة,انهي المكالمة,,endCall
234,اغلق الدردشة,اغلق الدردشة,,closeChat
235,افتح الدردشة مع سعيد اسعد,افتح الدردشة,سعيد اسعد,openChat
237,اتصل على عبدالعزيز سامي,اتصل,عبدالعزيز سامي,call
238,اتصل,اتصل,,call
239,اتصال,اتصال,,call
240,اغلق الشات,اغلق الشات,,closeChat
241,مكالمة,مكالمة,,call
242,ابدا مكالمة مع سامر,مكالمة,سامر,call
243,انهي الاتصال,انهي الاتصال,,endCall
244,اتصل بسامي,اتصل,سامي,call
245,اغلق المكالمة,اغلق المكالمة,,endCall
246,اتصل على احمد,اتصل,احمد,call
247,اتصل,اتصل,,call
248,اتصال,اتصال,,call
249,مكالمة,مكالمة,,call
250,اتصل بياسر وائل,اتصل,ياسر وائل,call
251,اتصل على سامي,اتصل,سامي,call
252,اتصل,اتصل,,call
253,اتصال,اتصال,,call
254,انهي المكالمة,انهي المكالمة,,endCall
255,افتح الدردشة مع ايهاب,افتح الدردشة,ايهاب,openChat
256,اغلق الدردشة,اغلق الدردشة,,closeChat
257,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
258,اقرا رسائل ايهاب,اقرا رسائل,ايهاب,readMessages
259,ارسل رسالة نصية الى عبدالله,رسالة نصية,عبدالله,textMessage
260,ارسل رسالة صوتية الى بهاء,رسالة صوتية,بهاء,voiceMessage
261,قم بحظر عبدالعزيز علاء,حظر,عبدالعزيز علاء,block
262,قم بفك الحظر عن محمد سيد,فك الحظر,محمد سيد,unblock
263,مكالمة,مكالمة,,call
264,انهي الاتصال,انهي الاتصال,,endCall
265,افتح الشات مع بهاء اسعد,افتح الشات,بهاء اسعد,openChat
266,اتصال,اتصال,,call
267,ابدأ الدردشة مع محمد اسعد,ابدأ الدردشة,محمد اسعد,openChat
268,اغلق الشات,اغلق الشات,,closeChat
269,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
270,اقرا الرسائل,اقرا الرسائل,,readMessages
271,رسالة نصية الى وائل سامي,رسالة نصية,وائل سامي,textMessage
272,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
273,حظر,حظر,,block
274,فك الحظر عن سعيد عبدالرحمن,فك الحظر,سعيد عبدالرحمن,unblock
275,ابدا مكالمة مع سيد صلاح,مكالمة,سيد صلاح,call
276,ابدا مكالمة مع سيد صلاح,مكالمة,سيد صلاح,call
277,اتصل بمحمد محمد,اتصل,محمد محمد,call
278,انهي المكالمة,انهي المكالمة,,endCall
279,افتح الدردشة مع عبدالرحمن,افتح الدردشة,عبدالرحمن,openChat
280,اغلق الدردشة,اغلق الدردشة,,closeChat
281,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
282,اقرا رسائل عبدالرحمن محمد,اقرا رسائل,عبدالرحمن محمد,readMessages
283,ارسل رسالة نصية الى هادي علاء,رسالة نصية,هادي علاء,textMessage
284,ارسل رسالة صوتية الى اسعد ايهاب,رسالة صوتية,اسعد ايهاب,voiceMessage
285,قم بحظر سليمان,حظر,سليمان,block
286,قم بفك الحظر عن ايهاب زياد,فك الحظر,ايهاب زياد,unblock
287,اتصل على سامح مهاب,اتصل,سامح مهاب,call
288,انهي الاتصال,انهي الاتصال,,endCall
289,افتح الشات مع سامح,افتح الشات,سامح,openChat
290,اغلق الشات,اغلق الشات,,closeChat
291,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
292,اتصل,اتصل,,call
293,اتصل,اتصل,,call
294,اغلق المكالمة,اغلق المكالمة,,endCall
295,ابدأ الدردشة مع سليمان,ابدأ الدردشة,سليمان,openChat
296,اقرا الرسائل,اقرا الرسائل,,readMessages
297,رسالة نصية الى محمود,رسالة نصية,محمود,textMessage
298,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
299,حظر,حظر,,block
300,فك الحظر عن هاني سلمان,فك الحظر,هاني سلمان,unblock
301,افتح المحادثة مع عبدالله مهاب,افتح المحادثة,عبدالله مهاب,openChat
302,اغلق المحادثة,اغلق المحادثة,,closeChat
303,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
304,اقرا رسائل زياد احمد,اقرا رسائل,زياد احمد,readMessages
305,ارسل رسالة نصية,رسالة نصية,,textMessage
306,ارسل رسالة صوتية الى سليمان علي,رسالة صوتية,سليمان علي,voiceMessage
307,حظر احمد وليد,حظر,احمد وليد,block
308,فك الحظر,فك الحظر,,unblock
309,اتصال,اتصال,,call
310,اغلق الاتصال,اغلق الاتصال,,endCall
311,افتح محادثة سامح,افتح محادثة,سامح,openChat
312,انهي الدردشة,انهي الدردشة,,closeChat
313,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
314,اقرا الرسائل,اقرا الرسائل,,readMessages
315,مكالمة,مكالمة,,call
316,ارسل رسالة نصية الى هاني سعيد,رسالة نصية,هاني سعيد,textMessage
317,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
318,انهي المكالمة,انهي المكالمة,,endCall
319,قم بحظر عبدالعزيز,حظر,عبدالعزيز,block
320,قم بفك الحظر عن سامي,فك الحظر,سامي,unblock
321,افتح شات مهاب,افتح شات,مهاب,openChat
322,انهي الشات,انهي الشات,,closeChat
323,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
324,ابدا مكالمة مع علاء عبدالرحمن,مكالمة,علاء عبدالرحمن,call
325,انهي الاتصال,انهي الاتصال,,endCall
326,افتح الدردشة مع سعيد,افتح الدردشة,سعيد,openChat
327,انهي المحادثة,انهي المحادثة,,closeChat
328,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
329,اقرا رسائل احمد علاء,اقرا رسائل,احمد علاء,readMessages
330,رسالة نصية الى عبدالعزيز وائل,رسالة نصية,عبدالعزيز وائل,textMessage
331,ارسل رسالة صوتية الى زياد,رسالة صوتية,زياد,voiceMessage
332,حظر,حظر,,block
333,فك الحظر عن سليمان سعيد,فك الحظر,سليمان سعيد,unblock
334,اغلق المكالمة,اغلق المكالمة,,endCall
335,اتصل بوائل صلاح,اتصل,وائل صلاح,call
336,اغلق الاتصال,اغلق الاتصال,,endCall
337,افتح الشات مع وائل,افتح الشات,وائل,openChat
338,اغلق الدردشة,اغلق الدردشة,,closeChat
339,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
340,اقرا الرسائل,اقرا الرسائل,,readMessages
341,ارسل رسالة نصية,رسالة نصية,,textMessage
342,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
343,حظر علاء سامح,حظر,علاء سامح,block
344,فك الحظر,فك الحظر,,unblock
345,اتصل على عبدالله عبدالعزيز,اتصل,عبدالله عبدالعزيز,call
346,انهي المكالمة,انهي المكالمة,,endCall
347,انهي المكالمة,انهي المكالمة,,endCall
348,انهي المكالمة,انهي المكالمة,,endCall
349,ابدأ الدردشة مع وائل سامح,ابدأ الدردشة,وائل سامح,openChat
350,اغلق الشات,اغلق الشات,,closeChat
351,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
352,اقرا رسائل علي علي,اقرا رسائل,علي علي,readMessages
353,ارسل رسالة نصية الى سلمان,رسالة نصية,سلمان,textMessage
354,ارسل رسالة صوتية الى عبدالرحمن,رسالة صوتية,عبدالرحمن,voiceMessage
355,قم بحظر سيد اسعد,حظر,سيد اسعد,block
356,قم بفك الحظر عن احمد,فك الحظر,احمد,unblock
357,اتصل,اتصل,,call
358,انهي الاتصال,انهي الاتصال,,endCall
359,افتح المحادثة مع هاني علاء,افتح المحادثة,هاني علاء,openChat
360,اغلق المحادثة,اغلق المحادثة,,closeChat
361,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
362,اتصال,اتصال,,call
363,اغلق المكالمة,اغلق المكالمة,,endCall
364,افتح محادثة ايهاب,افتح محادثة,ايهاب,openChat
365,انهي الدردشة,انهي الدردشة,,closeChat
366,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
367,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
368,اقرا الرسائل,اقرا الرسائل,,readMessages
369,رسالة نصية الى سامر سليمان,رسالة نصية,سامر سليمان,textMessage
370,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
371,حظر,حظر,,block
372,فك الحظر عن هاني عبدالعزيز,فك الحظر,هاني عبدالعزيز,unblock
373,مكالمة,مكالمة,,call
374,اغلق الاتصال,اغلق الاتصال,,endCall
375,افتح شات وائل,افتح شات,وائل,openChat
376,انهي الشات,انهي الشات,,closeChat
377,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
378,اقرا رسائل طارق,اقرا رسائل,طارق,readMessages
379,ارسل رسالة نصية,رسالة نصية,,textMessage
380,ارسل رسالة صوتية الى سيد,رسالة صوتية,سيد,voiceMessage
381,حظر سامح,حظر,سامح,block
382,فك الحظر,فك الحظر,,unblock
383,ابدا مكالمة مع عبدالعزيز عبدالعزيز,مكالمة,عبدالعزيز عبدالعزيز,call
384,اتصل بعبدالرحمن,اتصل,عبدالرحمن,call
385,انهي المكالمة,انهي المكالمة,,endCall
386,افتح الدردشة مع سامي,افتح الدردشة,سامي,openChat
387,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
388,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
389,اقرا الرسائل,اقرا الرسائل,,readMessages
390,ارسل رسالة نصية الى هاني هاني,رسالة نصية,هاني هاني,textMessage
391,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
392,قم بحظر ايهاب عبدالرحمن,حظر,ايهاب عبدالرحمن,block
393,قم بفك الحظر عن علي,فك الحظر,علي,unblock
394,اتصل على سلمان,اتصل,سلمان,call
395,انهي الاتصال,انهي الاتصال,,endCall
396,افتح الشات مع سليمان سعيد,افتح الشات,سليمان سعيد,openChat
397,انهي المحادثة,انهي المحادثة,,closeChat
398,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
399,اغلق الدردشة,اغلق الدردشة,,closeChat
400,اتصل,اتصل,,call
401,اتصل,اتصل,,call
402,اتصل,اتصل,,call
403,اتصال,اتصال,,call
404,اتصال,اتصال,,call
405,اتصال,اتصال,,call
406,اغلق المكالمة,اغلق المكالمة,,endCall
407,ابدأ الدردشة مع هاني سلمان,ابدأ الدردشة,هاني سلمان,openChat
408,اغلق الشات,اغلق الشات,,closeChat
409,رسالة نصية الى احمد سلمان,رسالة نصية,احمد سلمان,textMessage
410,ارسل رسالة صوتية الى اسعد عبدالله,رسالة صوتية,اسعد عبدالله,voiceMessage
411,حظر,حظر,,block
412,فك الحظر عن احمد هادي,فك الحظر,احمد هادي,unblock
413,فك الحظر عن احمد هادي,فك الحظر,احمد هادي,unblock
414,مكالمة,مكالمة,,call
415,ابدا مكالمة مع ايهاب,مكالمة,ايهاب,call
416,اغلق الاتصال,اغلق الاتصال,,endCall
417,افتح المحادثة مع زياد عبدالعزيز,افتح المحادثة,زياد عبدالعزيز,openChat
418,اغلق المحادثة,اغلق المحادثة,,closeChat
419,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
420,اقرا رسائل صلاح سامر,اقرا رسائل,صلاح سامر,readMessages
421,ارسل رسالة نصية,رسالة نصية,,textMessage
422,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
423,حظر محمد طارق,حظر,محمد طارق,block
424,فك الحظر,فك الحظر,,unblock
425,اتصل بسلمان ياسر,اتصل,سلمان ياسر,call
426,انهي المكالمة,انهي المكالمة,,endCall
427,افتح محادثة وائل,افتح محادثة,وائل,openChat
428,انهي الدردشة,انهي الدردشة,,closeChat
429,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
430,اقرا الرسائل,اقرا الرسائل,,readMessages
431,ارسل رسالة نصية الى وائل,رسالة نصية,وائل,textMessage
432,ارسل رسالة صوتية الى اسعد,رسالة صوتية,اسعد,voiceMessage
433,قم بحظر مهاب,حظر,مهاب,block
434,قم بفك الحظر عن سعيد محمود,فك الحظر,سعيد محمود,unblock
435,اتصل على ايهاب,اتصل,ايهاب,call
436,اتصل,اتصل,,call
437,انهي الاتصال,انهي الاتصال,,endCall
438,فك الحظر عن علاء بهاء,فك الحظر,علاء بهاء,unblock
439,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
440,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
441,اقرا رسائل عبدالعزيز سامر,اقرا رسائل,عبدالعزيز سامر,readMessages
442,فك الحظر,فك الحظر,,unblock
443,اقرا الرسائل,اقرا الرسائل,,readMessages
444,رسالة نصية الى وائل وائل,رسالة نصية,وائل وائل,textMessage
445,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
446,حظر,حظر,,block
447,قم بفك الحظر عن هادي,فك الحظر,هادي,unblock
448,اتصال,اتصال,,call
449,اغلق المكالمة,اغلق المكالمة,,endCall
450,افتح شات صلاح,افتح شات,صلاح,openChat
451,انهي الشات,انهي الشات,,closeChat
452,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
453,اقرا رسائل سامي وليد,اقرا رسائل,سامي وليد,readMessages
454,ارسل رسالة نصية,رسالة نصية,,textMessage
455,ارسل رسالة صوتية الى محمد اسعد,رسالة صوتية,محمد اسعد,voiceMessage
456,حظر ايهاب,حظر,ايهاب,block
457,فك الحظر عن علي,فك الحظر,علي,unblock
458,مكالمة,مكالمة,,call
459,ابدا مكالمة مع هاني,مكالمة,هاني,call
460,اغلق الاتصال,اغلق الاتصال,,endCall
461,افتح الدردشة مع زياد,افتح الدردشة,زياد,openChat
462,انهي المحادثة,انهي المحادثة,,closeChat
463,اقرا الرسائل,اقرا الرسائل,,readMessages
464,ارسل رسالة نصية الى علاء ايهاب,رسالة نصية,علاء ايهاب,textMessage
465,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
